target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2024-11-13,2024-11-10,0.01,1,quantile,794.617710862593
ILI incidence,AT,2024-11-13,2024-11-10,0.025,1,quantile,874.441682823632
ILI incidence,AT,2024-11-13,2024-11-10,0.05,1,quantile,962.599527752918
ILI incidence,AT,2024-11-13,2024-11-10,0.1,1,quantile,1087.35030915378
ILI incidence,AT,2024-11-13,2024-11-10,0.15,1,quantile,1175.54089284825
ILI incidence,AT,2024-11-13,2024-11-10,0.2,1,quantile,1253.66948991601
ILI incidence,AT,2024-11-13,2024-11-10,0.25,1,quantile,1330.34473009728
ILI incidence,AT,2024-11-13,2024-11-10,0.3,1,quantile,1374.29931424748
ILI incidence,AT,2024-11-13,2024-11-10,0.35,1,quantile,1433.35676095307
ILI incidence,AT,2024-11-13,2024-11-10,0.4,1,quantile,1490.77191299984
ILI incidence,AT,2024-11-13,2024-11-10,0.45,1,quantile,1550.52449330202
ILI incidence,AT,2024-11-13,2024-11-10,0.5,1,quantile,1592.63742435506
ILI incidence,AT,2024-11-13,2024-11-10,0.55,1,quantile,1649.72215678972
ILI incidence,AT,2024-11-13,2024-11-10,0.6,1,quantile,1695.62932939774
ILI incidence,AT,2024-11-13,2024-11-10,0.65,1,quantile,1754.92099384206
ILI incidence,AT,2024-11-13,2024-11-10,0.7,1,quantile,1802.84377116919
ILI incidence,AT,2024-11-13,2024-11-10,0.75,1,quantile,1864.67870636298
ILI incidence,AT,2024-11-13,2024-11-10,0.8,1,quantile,1941.3104273167
ILI incidence,AT,2024-11-13,2024-11-10,0.85,1,quantile,2038.12333454711
ILI incidence,AT,2024-11-13,2024-11-10,0.9,1,quantile,2166.38133140727
ILI incidence,AT,2024-11-13,2024-11-10,0.95,1,quantile,2342.19165602452
ILI incidence,AT,2024-11-13,2024-11-10,0.975,1,quantile,2459.99086809855
ILI incidence,AT,2024-11-13,2024-11-10,0.99,1,quantile,2642.98937081592
