target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2024-11-20,2024-11-17,0.01,1,quantile,1218.54463687614
ILI incidence,AT,2024-11-20,2024-11-17,0.025,1,quantile,1291.45877030817
ILI incidence,AT,2024-11-20,2024-11-17,0.05,1,quantile,1395.97947169762
ILI incidence,AT,2024-11-20,2024-11-17,0.1,1,quantile,1497.58963661635
ILI incidence,AT,2024-11-20,2024-11-17,0.15,1,quantile,1562.65065697495
ILI incidence,AT,2024-11-20,2024-11-17,0.2,1,quantile,1635.87306185053
ILI incidence,AT,2024-11-20,2024-11-17,0.25,1,quantile,1678.45910319227
ILI incidence,AT,2024-11-20,2024-11-17,0.3,1,quantile,1725.29688039149
ILI incidence,AT,2024-11-20,2024-11-17,0.35,1,quantile,1765.0251388538
ILI incidence,AT,2024-11-20,2024-11-17,0.4,1,quantile,1799.03908059931
ILI incidence,AT,2024-11-20,2024-11-17,0.45,1,quantile,1839.20353703176
ILI incidence,AT,2024-11-20,2024-11-17,0.5,1,quantile,1873.8886839291
ILI incidence,AT,2024-11-20,2024-11-17,0.55,1,quantile,1914.00649115709
ILI incidence,AT,2024-11-20,2024-11-17,0.6,1,quantile,1966.18453339106
ILI incidence,AT,2024-11-20,2024-11-17,0.65,1,quantile,2010.41956917005
ILI incidence,AT,2024-11-20,2024-11-17,0.7,1,quantile,2039.82900319251
ILI incidence,AT,2024-11-20,2024-11-17,0.75,1,quantile,2113.64666472544
ILI incidence,AT,2024-11-20,2024-11-17,0.8,1,quantile,2190.38919976291
ILI incidence,AT,2024-11-20,2024-11-17,0.85,1,quantile,2259.14229025832
ILI incidence,AT,2024-11-20,2024-11-17,0.9,1,quantile,2363.94276319198
ILI incidence,AT,2024-11-20,2024-11-17,0.95,1,quantile,2477.61841803558
ILI incidence,AT,2024-11-20,2024-11-17,0.975,1,quantile,2591.62144854733
ILI incidence,AT,2024-11-20,2024-11-17,0.99,1,quantile,2719.79462272646
ILI incidence,AT,2024-11-20,2024-11-24,0.01,2,quantile,871.900558941801
ILI incidence,AT,2024-11-20,2024-11-24,0.025,2,quantile,1017.81244475448
ILI incidence,AT,2024-11-20,2024-11-24,0.05,2,quantile,1105.8893953161
ILI incidence,AT,2024-11-20,2024-11-24,0.1,2,quantile,1235.42380995496
ILI incidence,AT,2024-11-20,2024-11-24,0.15,2,quantile,1323.8157416004
ILI incidence,AT,2024-11-20,2024-11-24,0.2,2,quantile,1405.50567184213
